competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus
100 Grand,1,0,1,0,0,1,0,1,0
3 Musketeers,1,0,0,0,1,0,0,1,0
One dime,0,0,0,0,0,0,0,0,0
One quarter,0,0,0,0,0,0,0,0,0
Air Heads,0,1,0,0,0,0,0,0,0
Almond Joy,1,0,0,1,0,0,0,1,0
Baby Ruth,1,0,1,1,1,0,0,1,0
Boston Baked Beans,0,0,0,1,0,0,0,0,1
Candy Corn,0,0,0,0,0,0,0,0,1
Caramel Apple Pops,0,1,1,0,0,0,0,0,0
Charleston Chew,1,0,0,0,1,0,0,1,0
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1
Chiclets,0,1,0,0,0,0,0,0,1
Dots,0,1,0,0,0,0,0,0,1
Dum Dums,0,1,0,0,0,0,1,0,0
Fruit Chews,0,1,0,0,0,0,0,0,1
Fun Dip,0,1,0,0,0,0,1,0,0
Gobstopper,0,1,0,0,0,0,1,0,1
Haribo Gold Bears,0,1,0,0,0,0,0,0,1
Haribo Happy Cola,0,0,0,0,0,0,0,0,1
Haribo Sour Bears,0,1,0,0,0,0,0,0,1
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1
Hershey's Kisses,1,0,0,0,0,0,0,0,1
Hershey's Krackel,1,0,0,0,0,1,0,1,0
Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0
Hershey's Special Dark,1,0,0,0,0,0,0,1,0
Jawbusters,0,1,0,0,0,0,1,0,1
Junior Mints,1,0,0,0,0,0,0,0,1
Kit Kat,1,0,0,0,0,1,0,1,0
Laffy Taffy,0,1,0,0,0,0,0,0,0
Lemonhead,0,1,0,0,0,0,1,0,0
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0
Peanut butter M&M's,1,0,0,1,0,0,0,0,1
M&M's,1,0,0,0,0,0,0,0,1
Mike & Ike,0,1,0,0,0,0,0,0,1
Milk Duds,1,0,1,0,0,0,0,0,1
Milky Way,1,0,1,0,1,0,0,1,0
Milky Way Midnight,1,0,1,0,1,0,0,1,0
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0
Mounds,1,0,0,0,0,0,0,1,0
Mr Good Bar,1,0,0,1,0,0,0,1,0
Nerds,0,1,0,0,0,0,1,0,1
Nestle Butterfinger,1,0,0,1,0,0,0,1,0
Nestle Crunch,1,0,0,0,0,1,0,1,0
Nik L Nip,0,1,0,0,0,0,0,0,1
Now & Later,0,1,0,0,0,0,0,0,1
Payday,0,0,0,1,1,0,0,1,0
Peanut M&Ms,1,0,0,1,0,0,0,0,1
Pixie Sticks,0,0,0,0,0,0,0,0,1
Pop Rocks,0,1,0,0,0,0,1,0,1
Red vines,0,1,0,0,0,0,0,0,1
Reese's Miniatures,1,0,0,1,0,0,0,0,0
Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0
Reese's pieces,1,0,0,1,0,0,0,0,1
Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0
Ring pop,0,1,0,0,0,0,1,0,0
Rolo,1,0,1,0,0,0,0,0,1
Root Beer Barrels,0,0,0,0,0,0,1,0,1
Runts,0,1,0,0,0,0,1,0,1
Sixlets,1,0,0,0,0,0,0,0,1
Skittles original,0,1,0,0,0,0,0,0,1
Skittles wildberry,0,1,0,0,0,0,0,0,1
Nestle Smarties,1,0,0,0,0,0,0,0,1
Smarties candy,0,1,0,0,0,0,1,0,1
Snickers,1,0,1,1,1,0,0,1,0
Snickers Crisper,1,0,1,1,0,1,0,1,0
Sour Patch Kids,0,1,0,0,0,0,0,0,1
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1
Starburst,0,1,0,0,0,0,0,0,1
Strawberry bon bons,0,1,0,0,0,0,1,0,1
Sugar Babies,0,0,1,0,0,0,0,0,1
Sugar Daddy,0,0,1,0,0,0,0,0,0
Super Bubble,0,1,0,0,0,0,0,0,0
Swedish Fish,0,1,0,0,0,0,0,0,1
Tootsie Pop,1,1,0,0,0,0,1,0,0
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0
Trolli Sour Bites,0,1,0,0,0,0,0,0,1
Twix,1,0,1,0,0,1,0,1,0
Twizzlers,0,1,0,0,0,0,0,0,0
Warheads,0,1,0,0,0,0,1,0,0
Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1
Werther's Original Caramel,0,0,1,0,0,0,1,0,0
Whoppers,1,0,0,0,0,1,0,0,1
